# KG estratto dalle lezioni BigBang di Prometeo
# Relazioni: SIMILAR_TO (cluster Kaikki), OPPOSITE_OF (antonimi)
# soggetto	RELAZIONE	oggetto
caduco	OPPOSITE_OF	immortale
caduta	OPPOSITE_OF	ascesa
caduta	OPPOSITE_OF	salita
calante	OPPOSITE_OF	crescente
calante	OPPOSITE_OF	levante
calcetto	OPPOSITE_OF	calcione
calcione	OPPOSITE_OF	calcetto
caldo	OPPOSITE_OF	freddo
caldo	OPPOSITE_OF	ghiaccio
calma	OPPOSITE_OF	collera
calma	OPPOSITE_OF	inquietudine
calmo	OPPOSITE_OF	agitato
calmo	OPPOSITE_OF	inquieto
calo	OPPOSITE_OF	aumento
calo	OPPOSITE_OF	incremento
campagna	OPPOSITE_OF	città
cancellabile	OPPOSITE_OF	indelebile
caotico	OPPOSITE_OF	quieto
capace	OPPOSITE_OF	incapace
caricare	OPPOSITE_OF	scaricare
caro	OPPOSITE_OF	economico
caro	OPPOSITE_OF	odioso
casalingo	OPPOSITE_OF	estraneo
casuale	OPPOSITE_OF	intenzionale
cattiveria	OPPOSITE_OF	bontà
cattivo	OPPOSITE_OF	buono
cauto	OPPOSITE_OF	arrischiato
cauto	OPPOSITE_OF	avventato
cauto	OPPOSITE_OF	azzardato
cedere	OPPOSITE_OF	resistere
celibe	OPPOSITE_OF	coniugato
celibe	OPPOSITE_OF	sposato
certezza	OPPOSITE_OF	incertezza
cessare	OPPOSITE_OF	continuare
cessare	OPPOSITE_OF	proseguire
chiacchierone	OPPOSITE_OF	silente
chiaro	OPPOSITE_OF	scuro
chiaro	OPPOSITE_OF	torbido
chiaro	OPPOSITE_OF	tortuoso
chiassoso	OPPOSITE_OF	silente
chiassoso	OPPOSITE_OF	silenzioso
chiudere	OPPOSITE_OF	aprire
chiudere	OPPOSITE_OF	dischiudere
chiudere	OPPOSITE_OF	schiudere
chiuso	OPPOSITE_OF	aperto
chiusura	OPPOSITE_OF	apertura
città	OPPOSITE_OF	campagna
cocente	OPPOSITE_OF	freddo
cocente	OPPOSITE_OF	gelido
coda	OPPOSITE_OF	introduzione
coda	OPPOSITE_OF	ouverture
coda	OPPOSITE_OF	preludio
coda	OPPOSITE_OF	testa
coerente	OPPOSITE_OF	incoerente
cognizione	OPPOSITE_OF	avventatezza
cognizione	OPPOSITE_OF	dissennatezza
cognizione	OPPOSITE_OF	ignoranza
collera	OPPOSITE_OF	calma
collera	OPPOSITE_OF	serenità
collera	OPPOSITE_OF	tranquillità
colorato	OPPOSITE_OF	incolore
colto	OPPOSITE_OF	acculturato
colto	OPPOSITE_OF	ignorante
colto	OPPOSITE_OF	incolto
comicità	OPPOSITE_OF	drammaticità
comicità	OPPOSITE_OF	tragicità
comicità	OPPOSITE_OF	tristezza
cominciare	OPPOSITE_OF	finire
commedia	OPPOSITE_OF	tragedia
commestibile	OPPOSITE_OF	incommestibile
compagnia	OPPOSITE_OF	solitudine
comparabile	OPPOSITE_OF	incomparabile
compatibile	OPPOSITE_OF	imperdonabile
compatibile	OPPOSITE_OF	incompatibile
competente	OPPOSITE_OF	incompetente
complesso	OPPOSITE_OF	semplice
completo	OPPOSITE_OF	incompleto
complicare	OPPOSITE_OF	semplificare
complicato	OPPOSITE_OF	facile
complicato	OPPOSITE_OF	semplice
comprare	OPPOSITE_OF	vendere
comprensibile	OPPOSITE_OF	incomprensibile
comprensibile	OPPOSITE_OF	ingiustificabile
comune	OPPOSITE_OF	singolare
comune	OPPOSITE_OF	straordinario
concepibile	OPPOSITE_OF	inconcepibile
concepibile	OPPOSITE_OF	inimmaginabile
conciliabile	OPPOSITE_OF	inconciliabile
conclusivo	OPPOSITE_OF	introduttivo
concordare	OPPOSITE_OF	contrastare
concordare	OPPOSITE_OF	discordare
concorde	OPPOSITE_OF	sconcorde
concordia	OPPOSITE_OF	sconcordia
concorrenza	OPPOSITE_OF	monopolio
condizionato	OPPOSITE_OF	incondizionato
confezionare	OPPOSITE_OF	scartare
confidare	OPPOSITE_OF	disperare
confondere	OPPOSITE_OF	dipanare
confondibile	OPPOSITE_OF	inconfondibile
confutabile	OPPOSITE_OF	inconfutabile
congedo	OPPOSITE_OF	entrata
congelare	OPPOSITE_OF	decongelare
congelare	OPPOSITE_OF	scongelare
coniugato	OPPOSITE_OF	celibe
connettere	OPPOSITE_OF	disconnettere
connettere	OPPOSITE_OF	sconnettere
consacrare	OPPOSITE_OF	sconsacrare
consapevole	OPPOSITE_OF	inconsapevole
consegnatario	OPPOSITE_OF	mittente
consentire	OPPOSITE_OF	vietare
consentito	OPPOSITE_OF	proibito
consentito	OPPOSITE_OF	vietato
consenziente	OPPOSITE_OF	contrario
consigliare	OPPOSITE_OF	sconsigliare
consueto	OPPOSITE_OF	inconsueto
consueto	OPPOSITE_OF	inusuale
contaminato	OPPOSITE_OF	incontaminato
contento	OPPOSITE_OF	deluso
contento	OPPOSITE_OF	dispiaciuto
contento	OPPOSITE_OF	inappagato
contestabile	OPPOSITE_OF	incontestabile
continuare	OPPOSITE_OF	cessare
continuare	OPPOSITE_OF	smettere
continuo	OPPOSITE_OF	discontinuo
contrario	OPPOSITE_OF	consenziente
contrario	OPPOSITE_OF	favorevole
contrarre	OPPOSITE_OF	rilassare
contrastare	OPPOSITE_OF	concordare
controindicare	OPPOSITE_OF	indicare
controllabile	OPPOSITE_OF	incontrollabile
controllabile	OPPOSITE_OF	irresistibile
convenuto	OPPOSITE_OF	attore
convergere	OPPOSITE_OF	divergere
copia	OPPOSITE_OF	originale
coraggio	OPPOSITE_OF	paura
coraggioso	OPPOSITE_OF	fifone
coraggioso	OPPOSITE_OF	pauroso
coraggioso	OPPOSITE_OF	timoroso
corretto	OPPOSITE_OF	errato
corretto	OPPOSITE_OF	incorretto
corretto	OPPOSITE_OF	sbagliato
cortesia	OPPOSITE_OF	scortesia
corto	OPPOSITE_OF	lungo
costituzionale	OPPOSITE_OF	incostituzionale
costituzionalità	OPPOSITE_OF	incostituzionalità
costoso	OPPOSITE_OF	economico
costruire	OPPOSITE_OF	distruggere
cotto	OPPOSITE_OF	crudo
creativo	OPPOSITE_OF	annichilativo
credente	OPPOSITE_OF	incredulo
